State,Apr-21,Apr-20,Apr-19,Apr-18,May-21,May-20,May-19,May-18,Jun-21,Jun-20,Jun-19,Jun-18,Jul-21,Jul-20,Jul-19,Jul-18,Aug-21,Aug-20,Aug-19,Aug-18,Sep-21,Sep-20,Sep-19,Sep-18,Oct-21,Oct-20,Oct-19,Oct-18,Nov-21,Nov-20,Nov-19,Nov-18,Dec-21,Dec-20,Dec-19,Dec-18,Jan-21,Jan-20,Jan-19,Jan-18,Feb-21,Feb-20,Feb-19,Feb-18,Mar-21,Mar-20,Mar-19,Mar-18
Nagaland,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,20,nan,nan,25,23,nan,nan,31,27,nan,nan,29,21,nan,nan,30,25,nan,nan,30,23,nan,nan,38,31,17,nan,nan,32,17,nan,34.83,25,20,nan,45.48,39,46
Odisha,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,694","2,923",nan,nan,"2,348","2,494",nan,nan,"2,348","2,497",nan,nan,"2,384","2,015",nan,nan,"2,419","1,994",nan,nan,"2,528","2,347",nan,nan,"2,860","2,383","2,347",nan,nan,"2,504","2,338",nan,"3,340.57","2,790.16","2,374",nan,"3,285.29","2,633","2,626"
Punjab,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,323","1,248",nan,nan,"1,188","1,271",nan,nan,"1,139","1,255",nan,nan,"1,194","1,133",nan,nan,"1,376","1,189",nan,nan,"1,396","1,375",nan,nan,"1,353","1,290","1,162",nan,nan,"1,340","1,216",nan,"1,299.37","1,229","1,100",nan,"1,361.85","1,181","1,166"
Rajasthan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,774","2,683",nan,nan,"2,797","2,699",nan,nan,"2,582","2,550",nan,nan,"2,647","2,253",nan,nan,"2,966","2,425",nan,nan,"3,130","3,071",nan,nan,"3,135","2,713","2,456",nan,nan,"3,030","2,776",nan,"3,223.70","2,932","2,676",nan,"3,351.79","2,820","3,132"
Sikkim,nan,nan,nan,nan,nan,nan,nan,nan,nan,346,193,nan,nan,186,201,nan,nan,147,163,nan,nan,106,209,nan,nan,177,186,nan,nan,223,157,nan,nan,225,214,150,nan,nan,194,176,nan,222.35,183,145,nan,213.66,189,160
Tamil_Nadu,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4,976","5,881",nan,nan,"4,635","6,084",nan,nan,"5,243","5,973",nan,nan,"6,454","5,616",nan,nan,"6,901","6,109",nan,nan,"7,084","6,449",nan,nan,"6,905","6,422","5,415",nan,nan,"6,703","6,201",nan,"7,008.21","6,427","5,974",nan,"7,579.18","6,178","6,941"
Telangana,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,276","3,166",nan,nan,"2,876","3,163",nan,nan,"2,793","3,059",nan,nan,"2,796","2,854",nan,nan,"3,383","3,230",nan,nan,"3,175","3,349",nan,nan,"3,543","3,420","3,014",nan,nan,"3,787","3,195",nan,"3,636.44","3,667","3,460",nan,"4,166.42","3,563","3,897"
Tripura,nan,nan,nan,nan,nan,nan,nan,nan,nan,65,58,nan,nan,48,49,nan,nan,43,58,nan,nan,50,52,nan,nan,57,54,nan,nan,58,51,nan,nan,74,59,48,nan,nan,56,52,nan,63.25,63,46,nan,87.90,67,64
Uttar_Pradesh,nan,nan,nan,nan,nan,nan,nan,nan,nan,"5,194","5,366",nan,nan,"5,099","5,422",nan,nan,"5,098","4,975",nan,nan,"5,075","5,073",nan,nan,"5,471","5,103",nan,nan,"5,528","5,679",nan,nan,"5,937","5,489","4,957",nan,nan,"5,698","5,485",nan,"5,996.62","5,776","5,112",nan,"6,265.01","5,294","5,548"
Uttarakhand,nan,nan,nan,nan,nan,nan,nan,nan,nan,895,"1,232",nan,nan,988,"1,289",nan,nan,"1,006",941,nan,nan,"1,065","1,017",nan,nan,"1,272","1,153",nan,nan,"1,286","1,280",nan,nan,"1,246","1,213","1,055",nan,nan,"1,257","1,146",nan,"1,181.13","1,281","1,237",nan,"1,303.57","1,195","1,451"
West_Bengal,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,128","3,514",nan,nan,"3,010","3,586",nan,nan,"3,053","3,503",nan,nan,"3,393","3,255",nan,nan,"3,738","3,263",nan,nan,"3,747","3,460",nan,nan,"4,114","3,748","3,230",nan,nan,"3,747","3,495",nan,"4,334.98","3,942","3,490",nan,"4,386.79","3,582","3,841"
Andaman_and_Nicobar_Islands,nan,nan,nan,nan,nan,nan,nan,nan,nan,54,21,nan,nan,18,22,nan,nan,13,30,nan,nan,19,19,nan,nan,19,32,nan,nan,23,25,nan,nan,22,30,22,nan,nan,30,35,nan,23.26,36,25,nan,25.66,39,28
Chandigarh,nan,nan,nan,nan,nan,nan,nan,nan,nan,159,158,nan,nan,137,156,nan,nan,139,160,nan,nan,141,157,nan,nan,152,157,nan,nan,141,165,nan,nan,158,168,143,nan,nan,195,159,nan,148.50,172,147,nan,165.27,153,162
Dadra_and_Nagar_Haveli_and_Daman_and_Diu,nan,nan,nan,nan,nan,nan,nan,nan,nan,192,252,nan,nan,207,240,nan,nan,215,262,nan,nan,240,214,nan,nan,290,213,nan,nan,298,246,nan,nan,263,248,206,nan,nan,282,274,nan,237.70,239,231,nan,291.78,264,277
Jammu_and_Kashmir,nan,nan,nan,nan,nan,nan,nan,nan,nan,325,322,nan,nan,298,363,nan,nan,326,302,nan,nan,368,282,nan,nan,377,313,nan,nan,360,363,nan,nan,318,409,293,nan,nan,371,331,nan,329.89,316,306,nan,351.61,276,388
Ladakh,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,0,nan,nan,7,0,nan,nan,5,0,nan,nan,9,0,nan,nan,15,0,nan,nan,9,-[22],nan,nan,8,0,nan,nan,nan,nan,nan,nan,9.06,0,nan,nan,13.67,0.84,nan
Lakshadweep,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,nan,nan,2,2,nan,nan,0,1,nan,nan,1,2,nan,nan,1,2,nan,nan,0,2,nan,nan,1,1,4,nan,nan,3,1,nan,0.46,2,3,nan,1.54,1.34,1
National_Capital_Territory_of_Delhi,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,249","3,595",nan,nan,"2,629","3,406",nan,nan,"2,880","3,517",nan,nan,"3,146","3,386",nan,nan,"3,211","3,484",nan,nan,"3,413","3,995",nan,nan,"3,451","3,698","3,146",nan,nan,"3,967","3,525",nan,"3,727.46","3,835","3,422",nan,"3,925.97","3,273","3,722"
Puducherry,nan,nan,nan,nan,nan,nan,nan,nan,nan,141,135,nan,nan,136,145,nan,nan,137,161,nan,nan,148,149,nan,nan,161,146,nan,nan,158,157,nan,nan,159,165,152,nan,nan,188,159,nan,158.05,159,175,nan,161.04,149,184
Other_Territory,nan,nan,nan,nan,nan,nan,nan,nan,nan,173,166,nan,nan,97,158,nan,nan,180,170,nan,nan,110,132,nan,nan,91,127,nan,nan,79,153,nan,nan,88,118,nan,nan,nan,139,194,nan,134.33,145,141,nan,132.39,133,167
